run_dir,collection,run_name,year,month,title,observable,time_range,input,n_profiles,n_stable,stable_fraction,mean_c2,mean_c3,mean_shape_ratio,median_ustar,c1_c3_corr,c1_c3_slope,c1_mean,c3_mean,c1_skew,c3_skew,rib_available,rib_window_count,rib_laminar_fraction
dct_smear_20250501_20250601,root,dct_smear_20250501_20250601,,,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dct_smear_varrio_dead_of_winter_2024_2025,root,dct_smear_varrio_dead_of_winter_2024_2025,,,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,96.0,0.0,0.0,0.046204075814219044,0.030578037523011758,0.6399855349939658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sheba/dct_main_file6,sheba,dct_main_file6,,,SHEBA DCT Two-Layer Analysis,,,/Users/davidengland/Documents/GitHub/ultra/runs/sheba/input/sheba_input.csv,48.0,24.0,0.5,2.2104188568140333,160.22444416672852,74.22594860630709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN
sheba/dct_main_file6_rich,sheba,dct_main_file6_rich,,,SHEBA DCT Two-Layer Analysis,,,runs/sheba/input/sheba_input_rich.csv,48.0,24.0,0.5,4.041914098898883,-31.378044578081894,58.22057928105108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1823.0,0.026330224904004388
sheba/dct_phi_h,sheba,dct_phi_h,,,SHEBA DCT Two-Layer Analysis,phi_h,,runs/sheba/input/sheba_input_rich.csv,48.0,31.0,0.6458333333333334,2.025750904825843,-2.0249702115663717,653.0198477525373,NaN,-0.06857695061888326,-76.8809714518618,1.089816578719181,-2.024970211566346,1.0480948061517792,0.15035627245272928,1.0,1823.0,0.026330224904004388
sheba/dct_phi_q,sheba,dct_phi_q,,,SHEBA DCT Two-Layer Analysis,phi_q,,runs/sheba/input/sheba_input_rich.csv,48.0,25.0,0.5208333333333334,43.3159040843427,651.9228206197348,348.04034881698504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1823.0,0.026330224904004388
tmp/dct_sheba_lookup_check,tmp,dct_sheba_lookup_check,,,SHEBA DCT Two-Layer Analysis,phi_h,1998-10-31T01:00:02.880 to 1999-09-25T16:59:57.120,runs/sheba/input/sheba_input_rich.csv,48.0,31.0,0.6458333333333334,2.025750904825843,-2.0249702115663717,653.0198477525373,NaN,-0.06857695061888326,-76.8809714518618,1.089816578719181,-2.024970211566346,1.0480948061517792,0.15035627245272928,1.0,1823.0,0.026330224904004388
tmp/dct_smear_shared_diag_check,tmp,dct_smear_shared_diag_check,,,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1488.0,421.0,0.28293010752688175,-0.14656081052791003,0.0472133932219633,0.7247396914944968,NaN,0.71917678153546,0.01412795457391531,-0.08646291271121055,0.04721339322196332,-0.14023520398207415,-0.41794183224698245,NaN,NaN,NaN
varrio/dct/2020_01,varrio/dct,2020_01,2020,1,DCT-SMEAR Results,,2020-01-01T00:00:00 to 2020-02-01T00:00:00,,1488.0,135.0,0.0907258064516129,0.07507549457867113,-0.015377565668000547,1.040927906144813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2020_02,varrio/dct,2020_02,2020,2,DCT-SMEAR Results,,2020-02-01T00:00:00 to 2020-03-01T00:00:00,,1328.0,130.0,0.09789156626506024,0.05956498275998118,-0.02586295326561199,0.6000572875140344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
