time,zeta,u_star,L,Ri_g,regime,neutral_transition,phi_m,phi_h,phi_q1,phi_q2,phi_obs
2441,0.1449161494207719,0.32341,114.549,NaN,weakly_stable,false,NaN,15.998823810671796,-0.6686356481199243,-5.209485734916741,NaN
2442,0.4897309901770584,0.15548,33.89616,NaN,strongly_stable,false,NaN,22.104029384043542,-2.9643767794083424,-23.85028066834049,NaN
2443,0.08287080441591559,0.14667,200.3118,NaN,near_neutral,false,NaN,159.0506483977606,-0.2880558249536775,-14.71052664060291,NaN
2445,0.13875886050555036,0.16595,119.632,NaN,weakly_stable,false,NaN,51.0138394412398,0.578799997094265,-11.665024897752481,NaN
2446,3.521440481291817,0.05277,4.71398,NaN,strongly_stable,false,NaN,23.289397707444145,0.1424441000499782,-15.869505944096773,NaN
2447,0.5537181674597179,0.12862,29.97915,NaN,strongly_stable,false,NaN,25.802674799464054,-3.8433542869150417,-8.584471564809615,NaN
2448,0.0605104015922255,0.25815,274.333,NaN,near_neutral,false,NaN,58.97227270599909,-0.9253814497471993,14.946517858513456,NaN
2449,0.14310862979521674,0.32355,115.9958,NaN,weakly_stable,false,NaN,14.462853149141171,-1.1588459178600623,-5.515641323321262,NaN
2450,0.4082912641656778,0.1984,40.65725,0.2599021454268514,strongly_stable,false,4.659569612455196,13.820742812907634,0.11560561931873417,-8.269550038678968,4.659569612455196
2451,0.06646548179266214,0.3159,249.7537,1.3504517789604098,near_neutral,false,1.3132105800007032,35.03899734088248,-0.18022274802781346,-5.81104459719106,1.3132105800007032
2452,0.0324228185546806,0.40258,511.9851,0.20106807928427212,near_neutral,false,2.4327053008097765,36.70044805467951,0.5630093134746396,-60.15608018592607,2.4327053008097765
2454,0.9237304688043423,0.18669,17.97061,NaN,strongly_stable,false,NaN,10.321069993774685,0.1736838008023298,-5.931561845827676,NaN
2455,0.020714766771068264,0.23004,801.3607,NaN,near_neutral,false,NaN,125.80308218938123,0.4716014721857243,4.856645875901848,NaN
2456,0.3026530640523276,0.20415,54.84828,0.2938794711861753,strongly_stable,false,3.748405311998259,13.643231990164132,0.4286961125265126,-3.3123951470157054,3.748405311998259
2457,0.4765744973502745,0.16676,34.83191,NaN,strongly_stable,false,NaN,14.112484887551046,0.5745315193767615,-1.8166491342723017,NaN
2458,0.07510867002906163,0.22377,221.0131,NaN,near_neutral,false,NaN,45.95865841482718,2.553996309469021,-8.322902036045235,NaN
2486,0.09067366711074916,0.48474,183.0741,0.05577964507632745,near_neutral,false,2.994064057249476,5.514634605175035,0.13841166943116512,-4.216157060316358,2.994064057249476
2487,0.2771825958717827,0.20841,59.88832,NaN,strongly_stable,false,NaN,12.641455310552782,0.3555993670829931,90.5286677029823,NaN
2488,0.44458204467031837,0.16948,37.33844,NaN,strongly_stable,false,NaN,13.36535210543798,0.5667952639960768,18.29173289704616,NaN
2489,0.269834019567843,0.10974,61.5193,NaN,strongly_stable,false,NaN,58.27361438544601,-1.7352630059187732,-11.254327865861088,NaN
2490,1.974284351655723,0.08129,8.40811,NaN,strongly_stable,false,NaN,17.94568145256895,0.7791318157023907,-13.617473247762499,NaN
2491,1.027887326211189,0.13339,16.14963,NaN,strongly_stable,false,NaN,15.705998283260975,0.43723115043046856,-26.82463607020365,NaN
2492,0.5918731537390517,0.18249,28.04655,NaN,strongly_stable,false,NaN,16.052170741789304,0.30090500172257767,-35.84916954196753,NaN
2493,0.6867577792901159,0.16532,24.17155,NaN,strongly_stable,false,NaN,17.8417334550923,0.4775689609007257,-20.497097807129986,NaN
2494,0.6971948407581785,0.14859,23.8097,NaN,strongly_stable,false,NaN,22.378653163356514,-5.085646374052594,-23.886059470498083,NaN
2495,0.6701736395676977,0.15591,24.7697,NaN,strongly_stable,false,NaN,21.366736780980503,-7.125558499822987,-11.662009644424367,NaN
2496,0.5148129678285314,0.19468,32.24472,NaN,strongly_stable,false,NaN,16.554450012558767,-2.3618414550327467,-6.558088580079796,NaN
2497,0.7518575637550304,0.14827,22.07865,NaN,strongly_stable,false,NaN,21.55396082847072,1.0586420674293022,-11.685044418410545,NaN
2498,0.8310550243534168,0.12913,19.97461,NaN,strongly_stable,false,NaN,25.604751746366844,-0.2891216791905557,-6.389065927860134,NaN
2499,10.059569620099749,0.03554,1.65017,NaN,strongly_stable,false,NaN,27.318310170327955,0.10075851129034222,238.34877573311908,NaN
2500,2.5186814854151653,0.07926,6.59075,NaN,strongly_stable,false,NaN,18.470126969320184,0.19844293132698138,-56.26342918842001,NaN
2501,1.585580766714266,0.0749,10.46935,NaN,strongly_stable,false,NaN,31.80945094701909,0.6979804082398332,62.44707219335111,NaN
2502,0.4087664143724241,0.17944,40.60999,NaN,strongly_stable,false,NaN,21.02838424219252,-7.508606008430816,-51.260971251659946,NaN
2503,0.4112312710167669,0.14042,40.36658,NaN,strongly_stable,false,NaN,31.321190886964185,-2.5908324984470417,60.941680915064715,NaN
2504,0.09508910593900206,0.22666,174.5731,NaN,near_neutral,false,NaN,36.147311096663785,1.1907332809738895,55.336643457891824,NaN
2505,0.2413730228132404,0.14554,68.77322,NaN,weakly_stable,false,NaN,31.314602406046905,0.8471354843604143,25.374173425114712,NaN
2586,0.005746444041577947,0.35944,2888.743,0.12089483510332591,near_neutral,false,1.9604021378935135,80.85351410149696,0.23063160978441433,18.378664268708615,1.9604021378935135
2587,0.07634848206799523,0.20593,217.4241,NaN,near_neutral,false,NaN,51.43454835058479,0.33444179178318645,12.94122085808088,NaN
2588,0.2522369696432807,0.09696,65.81113,NaN,strongly_stable,false,NaN,101.43826680900622,0.5757492288630143,19.214087318646374,NaN
2589,0.5028526284349227,0.10515,33.01166,NaN,strongly_stable,false,NaN,48.3332085238193,0.5836587398827814,12.722419450386482,NaN
2590,0.44933418688783294,0.18227,36.94355,NaN,strongly_stable,false,NaN,15.160825646916079,0.4487126853773134,15.09924512311296,NaN
2591,0.3346022687646364,0.25204,49.61114,0.16426148345644873,weakly_stable,false,4.608311952247439,10.425348939162484,0.4223112713854277,65.57910516292058,4.608311952247439
2592,0.17743880552471755,0.34562,93.55338,0.1325293368274862,weakly_stable,false,3.5892540940917765,9.622143476176353,0.5449353896341471,-108.89145110959342,3.5892540940917765
2593,0.18845632360085088,0.33443,88.08407,0.10055920760822443,weakly_stable,false,4.27556705106865,9.754355309591373,0.4705326631448133,-15.172670280683084,4.27556705106865
2594,0.12679024387263232,0.43674,130.9249,0.07522802120955058,weakly_stable,false,3.5943417899284085,7.665359816505213,0.3343888602524519,-10.996888724374235,3.5943417899284085
2595,0.10581046032012127,0.49026,156.8843,0.07265918083734157,weakly_stable,false,3.3039712488158215,7.4960834452502905,0.3108636604348081,-11.435645529104526,3.3039712488158215
2596,0.09898238948258446,0.52153,167.7066,0.0640407247262022,near_neutral,false,3.182889447075591,6.554527847971178,0.26539693241155343,-9.642644000013608,3.182889447075591
2597,0.07557629199036994,0.57177,219.6456,0.05186356468331865,near_neutral,false,3.276342954529113,7.366403339083021,0.26208624172388767,-14.96886790212204,3.276342954529113
2598,0.04710278167463442,0.61665,352.4208,0.054066464967084574,near_neutral,false,2.8115850878852577,9.07368884018961,0.30911585944901143,-20.685807258020848,2.8115850878852577
2599,0.025072188267363776,0.65092,662.0882,0.042723255754794874,near_neutral,false,2.781918498262288,13.187452410349955,0.2736880031297827,-63.88381221581383,2.781918498262288
