tracer,family,branch,x_driver,phi_fit
momentum,BD_PL,weakly_stable,0.21638655462184875,1.8489591601627513
momentum,BD_PL,weakly_stable,0.2184873949579832,1.8570388792155368
momentum,BD_PL,weakly_stable,0.22058823529411764,1.8651154712896578
momentum,BD_PL,weakly_stable,0.22268907563025211,1.8731889363851146
momentum,BD_PL,weakly_stable,0.22478991596638656,1.8812592745019072
momentum,BD_PL,weakly_stable,0.226890756302521,1.8893264856400356
momentum,BD_PL,weakly_stable,0.22899159663865545,1.8973905697994995
momentum,BD_PL,weakly_stable,0.23109243697478993,1.9054515269802994
momentum,BD_PL,weakly_stable,0.23319327731092437,1.9135093571824349
momentum,BD_PL,weakly_stable,0.23529411764705882,1.921564060405906
momentum,BD_PL,weakly_stable,0.23739495798319327,1.9296156366507131
momentum,BD_PL,weakly_stable,0.23949579831932774,1.937664085916856
momentum,BD_PL,weakly_stable,0.2415966386554622,1.9457094082043342
momentum,BD_PL,weakly_stable,0.24369747899159663,1.9537516035131484
momentum,BD_PL,weakly_stable,0.24579831932773108,1.9617906718432983
momentum,BD_PL,weakly_stable,0.24789915966386555,1.9698266131947837
momentum,BD_PL,weakly_stable,0.25,1.977859427567605
heat,BD_CLASSIC,weakly_stable,0.0,1.0
heat,BD_CLASSIC,weakly_stable,0.0021008403361344537,1.01658739607634
heat,BD_CLASSIC,weakly_stable,0.004201680672268907,1.032736138927209
heat,BD_CLASSIC,weakly_stable,0.0063025210084033615,1.0484462285526066
heat,BD_CLASSIC,weakly_stable,0.008403361344537815,1.063717664952533
heat,BD_CLASSIC,weakly_stable,0.01050420168067227,1.0785504481269883
heat,BD_CLASSIC,weakly_stable,0.012605042016806723,1.0929445780759728
heat,BD_CLASSIC,weakly_stable,0.014705882352941176,1.1069000547994856
heat,BD_CLASSIC,weakly_stable,0.01680672268907563,1.1204168782975275
heat,BD_CLASSIC,weakly_stable,0.018907563025210083,1.1334950485700979
heat,BD_CLASSIC,weakly_stable,0.02100840336134454,1.1461345656171975
heat,BD_CLASSIC,weakly_stable,0.023109243697478993,1.1583354294388257
heat,BD_CLASSIC,weakly_stable,0.025210084033613446,1.1700976400349827
heat,BD_CLASSIC,weakly_stable,0.0273109243697479,1.181421197405669
heat,BD_CLASSIC,weakly_stable,0.029411764705882353,1.1923061015508836
heat,BD_CLASSIC,weakly_stable,0.031512605042016806,1.2027523524706272
heat,BD_CLASSIC,weakly_stable,0.03361344537815126,1.2127599501648996
heat,BD_CLASSIC,weakly_stable,0.03571428571428571,1.2223288946337005
heat,BD_CLASSIC,weakly_stable,0.037815126050420166,1.231459185877031
heat,BD_CLASSIC,weakly_stable,0.03991596638655462,1.2401508238948897
heat,BD_CLASSIC,weakly_stable,0.04201680672268908,1.2484038086872775
heat,BD_CLASSIC,weakly_stable,0.04411764705882353,1.2562181402541939
heat,BD_CLASSIC,weakly_stable,0.046218487394957986,1.2635938185956392
heat,BD_CLASSIC,weakly_stable,0.04831932773109244,1.2705308437116134
heat,BD_CLASSIC,weakly_stable,0.05042016806722689,1.2770292156021164
heat,BD_CLASSIC,weakly_stable,0.052521008403361345,1.2830889342671483
heat,BD_CLASSIC,weakly_stable,0.0546218487394958,1.2887099997067089
heat,BD_CLASSIC,weakly_stable,0.05672268907563025,1.2938924119207984
heat,BD_CLASSIC,weakly_stable,0.058823529411764705,1.2986361709094167
heat,BD_CLASSIC,weakly_stable,0.06092436974789916,1.3029412766725639
heat,BD_CLASSIC,weakly_stable,0.06302521008403361,1.3068077292102396
heat,BD_CLASSIC,weakly_stable,0.06512605042016807,1.3102355285224443
heat,BD_CLASSIC,weakly_stable,0.06722689075630252,1.3132246746091778
heat,BD_CLASSIC,weakly_stable,0.06932773109243698,1.3157751674704405
heat,BD_CLASSIC,weakly_stable,0.07142857142857142,1.3178870071062316
heat,BD_CLASSIC,weakly_stable,0.07352941176470588,1.3195601935165517
heat,BD_CLASSIC,weakly_stable,0.07563025210084033,1.3207947267014006
heat,BD_CLASSIC,weakly_stable,0.07773109243697479,1.3215906066607783
heat,BD_CLASSIC,weakly_stable,0.07983193277310924,1.3219478333946848
heat,BD_CLASSIC,weakly_stable,0.0819327731092437,1.32186640690312
heat,BD_CLASSIC,weakly_stable,0.08403361344537816,1.3213463271860844
heat,BD_CLASSIC,weakly_stable,0.0861344537815126,1.3203875942435774
heat,BD_CLASSIC,weakly_stable,0.08823529411764706,1.3189902080755993
heat,BD_CLASSIC,weakly_stable,0.09033613445378151,1.31715416868215
heat,BD_CLASSIC,weakly_stable,0.09243697478991597,1.3148794760632292
heat,BD_CLASSIC,weakly_stable,0.09453781512605042,1.3121661302188377
heat,BD_CLASSIC,weakly_stable,0.09663865546218488,1.3090141311489745
heat,BD_CLASSIC,weakly_stable,0.09873949579831932,1.3054234788536405
heat,BD_CLASSIC,weakly_stable,0.10084033613445378,1.3013941733328354
heat,BD_CLASSIC,weakly_stable,0.10294117647058823,1.296926214586559
heat,BD_CLASSIC,weakly_stable,0.10504201680672269,1.2920196026148116
heat,BD_CLASSIC,weakly_stable,0.10714285714285714,1.2866743374175926
heat,BD_CLASSIC,weakly_stable,0.1092436974789916,1.2808904189949026
heat,BD_CLASSIC,weakly_stable,0.11134453781512606,1.2746678473467414
heat,BD_CLASSIC,weakly_stable,0.1134453781512605,1.2680066224731092
heat,BD_CLASSIC,weakly_stable,0.11554621848739496,1.2609067443740059
heat,BD_CLASSIC,weakly_stable,0.11764705882352941,1.253368213049431
heat,BD_CLASSIC,weakly_stable,0.11974789915966387,1.2453910284993854
heat,BD_CLASSIC,weakly_stable,0.12184873949579832,1.2369751907238684
heat,BD_CLASSIC,weakly_stable,0.12394957983193278,1.2281206997228802
heat,BD_CLASSIC,weakly_stable,0.12605042016806722,1.218827555496421
heat,BD_CLASSIC,weakly_stable,0.12815126050420167,1.2090957580444903
heat,BD_CLASSIC,weakly_stable,0.13025210084033614,1.1989253073670885
heat,BD_CLASSIC,weakly_stable,0.1323529411764706,1.1883162034642156
heat,BD_CLASSIC,weakly_stable,0.13445378151260504,1.1772684463358716
heat,BD_CLASSIC,weakly_stable,0.13655462184873948,1.1657820359820563
heat,BD_CLASSIC,weakly_stable,0.13865546218487396,1.15385697240277
heat,BD_CLASSIC,weakly_stable,0.1407563025210084,1.1414932555980126
heat,BD_CLASSIC,weakly_stable,0.14285714285714285,1.1286908855677837
heat,BD_CLASSIC,weakly_stable,0.14495798319327732,1.115449862312084
heat,BD_CLASSIC,weakly_stable,0.14705882352941177,1.1017701858309128
heat,BD_CLASSIC,weakly_stable,0.14915966386554622,1.0876518561242707
heat,BD_CLASSIC,weakly_stable,0.15126050420168066,1.0730948731921572
heat,BD_CLASSIC,weakly_stable,0.15336134453781514,1.0580992370345723
heat,BD_CLASSIC,weakly_stable,0.15546218487394958,1.0426649476515166
heat,BD_CLASSIC,weakly_stable,0.15756302521008403,1.0267920050429897
heat,BD_CLASSIC,weakly_stable,0.15966386554621848,1.0104804092089914
heat,BD_CLASSIC,weakly_stable,0.16176470588235295,0.9937301601495219
heat,BD_CLASSIC,weakly_stable,0.1638655462184874,0.9765412578645811
heat,BD_CLASSIC,weakly_stable,0.16596638655462184,0.9589137023541698
heat,BD_CLASSIC,weakly_stable,0.16806722689075632,0.9408474936182869
heat,BD_CLASSIC,weakly_stable,0.17016806722689076,0.922342631656933
heat,BD_CLASSIC,weakly_stable,0.1722689075630252,0.9033991164701078
heat,BD_CLASSIC,weakly_stable,0.17436974789915966,0.8840169480578113
heat,BD_CLASSIC,weakly_stable,0.17647058823529413,0.8641961264200437
heat,BD_CLASSIC,weakly_stable,0.17857142857142858,0.8439366515568052
heat,BD_CLASSIC,weakly_stable,0.18067226890756302,0.8232385234680955
heat,BD_CLASSIC,weakly_stable,0.18277310924369747,0.8021017421539143
heat,BD_CLASSIC,weakly_stable,0.18487394957983194,0.7805263076142614
heat,BD_CLASSIC,weakly_stable,0.1869747899159664,0.7585122198491383
heat,BD_CLASSIC,weakly_stable,0.18907563025210083,0.7360594788585437
heat,BD_CLASSIC,weakly_stable,0.19117647058823528,0.7131680846424777
heat,BD_CLASSIC,weakly_stable,0.19327731092436976,0.6898380372009403
heat,BD_CLASSIC,weakly_stable,0.1953781512605042,0.6660693365339323
heat,BD_CLASSIC,weakly_stable,0.19747899159663865,0.6418619826414533
heat,BD_CLASSIC,weakly_stable,0.19957983193277312,0.6172159755235025
heat,BD_CLASSIC,weakly_stable,0.20168067226890757,0.5921313151800809
heat,BD_CLASSIC,weakly_stable,0.20378151260504201,0.5666080016111885
heat,BD_CLASSIC,weakly_stable,0.20588235294117646,0.5406460348168243
heat,BD_CLASSIC,weakly_stable,0.20798319327731093,0.514245414796989
heat,BD_CLASSIC,weakly_stable,0.21008403361344538,0.4874061415516828
heat,BD_CLASSIC,weakly_stable,0.21218487394957983,0.4601282150809056
heat,BD_CLASSIC,weakly_stable,0.21428571428571427,0.43241163538465655
heat,BD_CLASSIC,weakly_stable,0.21638655462184875,0.4042564024629365
heat,BD_CLASSIC,weakly_stable,0.2184873949579832,0.37566251631574543
heat,BD_CLASSIC,weakly_stable,0.22058823529411764,0.3466299769430834
heat,BD_CLASSIC,weakly_stable,0.22268907563025211,0.31715878434494904
heat,BD_CLASSIC,weakly_stable,0.22478991596638656,0.2872489385213446
heat,BD_CLASSIC,weakly_stable,0.226890756302521,0.25690043947226915
heat,BD_CLASSIC,weakly_stable,0.22899159663865545,0.22611328719772228
heat,BD_CLASSIC,weakly_stable,0.23109243697478993,0.19488748169770398
heat,BD_CLASSIC,weakly_stable,0.23319327731092437,0.1632230229722147
heat,BD_CLASSIC,weakly_stable,0.23529411764705882,0.13111991102125398
heat,BD_CLASSIC,weakly_stable,0.23739495798319327,0.09857814584482272
heat,BD_CLASSIC,weakly_stable,0.23949579831932774,0.06559772744291958
heat,BD_CLASSIC,weakly_stable,0.2415966386554622,0.03217865581554591
heat,BD_CLASSIC,weakly_stable,0.24369747899159663,-0.0016790690372991968
heat,BD_CLASSIC,weakly_stable,0.24579831932773108,-0.03597544711561529
